gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,feature_2
1,0,0,0,8,1,2,1,0,0,0,0,2,0,0,1,2,968,1842,3.9552603117784635
0,0,0,0,59,1,2,1,0,2,2,0,2,2,2,0,2,1323,5160,4.210289595351645
1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,687,280,3.693102380885068
0,0,1,0,25,0,1,0,2,0,2,0,0,0,1,0,1,190,2165,1.784177328878434
0,1,1,1,2,1,0,1,2,0,0,2,2,0,0,1,3,1021,977,3.9258800360437762
1,0,1,1,29,1,2,0,2,0,0,0,0,0,0,1,0,435,2912,2.2987538551613653
1,0,0,0,37,1,0,0,2,2,0,2,2,0,1,0,3,699,3659,2.6341413767249824
1,0,1,1,31,1,0,2,1,1,1,1,1,1,0,1,1,17,1723,0.762340347832317
0,0,0,0,6,1,0,2,1,1,1,1,1,1,1,0,3,33,555,1.0123466170855586
1,0,0,0,17,0,1,0,0,2,2,0,0,0,0,1,1,162,1610,2.7663237344451836
1,0,1,0,35,0,1,0,2,0,2,0,0,0,1,0,3,189,2600,1.7811647158504758
0,1,0,0,30,1,2,1,0,2,0,0,2,2,0,1,2,1238,3898,5.1547426569986134
0,1,0,0,8,1,2,1,0,0,0,0,0,2,0,1,2,950,1850,4.94044001858853
0,0,0,1,14,1,0,1,0,0,0,0,0,0,0,0,0,667,2179,3.6713447402239026
0,0,0,0,0,1,0,2,1,1,1,1,1,1,0,0,1,24,18,0.888175022589804
1,0,1,1,43,1,0,2,1,1,1,1,1,1,1,0,0,40,2092,1.0912791051825463
1,0,0,0,0,1,0,2,1,1,1,1,1,1,0,1,3,32,26,1.0
1,0,0,1,7,0,1,0,0,0,0,0,0,0,0,0,3,99,802,2.5068424421341002
1,0,1,1,34,1,2,2,1,1,1,1,1,1,2,0,0,98,1910,1.5017575271408434
1,0,0,1,22,1,0,0,0,2,0,2,0,0,0,0,2,429,2595,3.3611775832695643
0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,28,112,0.9472943612303364
0,0,0,0,13,1,0,1,0,0,0,0,0,0,0,1,1,707,2074,3.714359050658524
1,1,0,0,4,1,2,1,0,2,0,0,0,2,0,1,2,1051,1448,5.02087473276376
0,0,0,0,59,0,1,0,2,0,2,0,0,2,1,1,2,286,3688,2.0275949788916057
0,1,0,0,2,1,2,1,0,2,0,0,0,0,0,1,2,856,788,4.859177489806177
1,0,0,0,8,1,2,1,0,2,0,0,2,2,0,1,1,1225,2084,4.14598014312126
1,0,0,0,4,1,0,2,1,1,1,1,1,1,0,0,0,41,452,1.1016324782757847
0,1,1,0,66,1,2,1,2,2,0,0,2,2,1,1,2,1340,5373,4.149281038475365
1,0,1,1,33,1,2,0,0,0,2,0,2,2,1,0,0,816,3678,3.8224167169337626
1,0,0,0,25,1,2,0,2,2,0,0,0,0,1,0,2,556,2907,2.4683218769812236
1,0,1,1,12,0,1,0,2,2,0,2,0,0,2,0,3,245,1596,1.9331486312095376
1,0,1,0,66,1,0,1,2,2,2,2,2,2,2,1,2,1437,5417,3.2086955125780685
0,0,0,0,4,1,0,1,0,0,0,0,2,0,0,1,1,888,1226,3.887609127906017
0,0,0,0,28,1,0,2,1,1,1,1,1,1,2,0,3,16,1541,0.7411011265922482
0,0,0,0,7,1,2,1,2,0,0,2,2,2,0,1,0,1298,1979,3.122482576283918
1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,1,0,290,1083,3.107989905514298
1,0,0,1,24,1,0,2,1,1,1,1,1,1,0,0,3,44,1369,1.1315255132709487
1,0,1,1,40,1,0,2,1,1,1,1,1,1,2,1,3,28,2029,0.9472943612303364
0,1,0,0,0,1,2,1,0,0,0,0,0,2,0,1,2,962,409,4.950344894375793
1,0,1,1,0,1,0,2,1,1,1,1,1,1,0,0,3,12,7,0.6437518295172258
1,0,0,0,36,1,2,1,0,2,0,2,2,2,1,1,1,1319,4163,4.207740606289923
1,0,0,1,61,1,2,1,0,0,2,2,2,2,2,1,2,1310,5240,4.201982691225451
1,0,0,0,71,1,2,1,0,2,2,2,2,2,2,0,0,1405,5533,4.261232835223534
1,0,0,0,38,0,1,0,0,0,2,2,0,0,1,0,3,193,2590,2.864913156331122
0,0,1,1,66,0,1,0,2,2,2,2,2,0,2,0,1,430,4096,2.2909696442736838
1,0,0,0,2,1,0,1,0,0,0,0,0,2,0,1,2,875,918,3.876159241920945
0,0,1,1,23,1,2,0,2,0,2,0,2,2,2,0,1,840,3139,2.772868105622227
1,0,0,0,10,1,0,1,0,2,0,0,0,0,0,1,2,767,1934,3.7753661080878986
1,0,0,0,5,1,0,0,2,0,2,2,2,2,2,1,3,873,1433,2.802612198572327
1,0,0,0,9,1,2,1,0,2,0,0,0,0,0,1,0,882,1887,3.8823413455029536
1,0,1,1,18,1,2,1,0,0,2,2,2,2,0,0,2,1297,3259,4.193609575158356
1,0,0,0,12,1,0,1,0,2,2,0,0,0,0,1,2,864,2162,3.866364089863526
1,1,1,0,0,1,2,1,2,0,0,0,0,0,0,1,2,874,380,3.8034993948323175
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,702,295,3.7090904350447036
0,0,1,1,54,1,0,1,0,0,0,0,0,0,2,1,1,668,4187,3.6724449336310094
1,0,1,0,69,1,2,0,2,2,2,2,2,0,2,0,3,851,4874,2.78288507167379
0,0,1,1,12,1,0,2,1,1,1,1,1,1,0,0,3,4,912,0.3195079107728942
1,0,1,1,7,1,0,0,2,0,0,0,0,0,0,1,1,394,1262,2.232676989934872
0,0,0,1,15,1,0,1,0,0,0,0,2,0,0,1,2,888,2594,3.887609127906017
1,0,0,0,34,1,0,2,1,1,1,1,1,1,0,0,0,43,1817,1.121747460841898
0,0,1,1,21,1,0,0,2,2,2,0,0,0,0,0,3,548,2738,2.458075408847631
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,29,82,0.961009057454548
1,1,1,0,19,1,2,1,0,0,0,0,2,2,0,1,2,1138,3178,5.0853423153862005
0,0,0,0,12,0,1,0,0,2,0,0,0,0,0,1,2,155,1144,2.741992986641268
1,0,1,0,71,1,2,0,2,2,2,0,2,2,2,1,2,966,5081,2.8818510917297457
1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,1,2,770,327,4.778314848555878
0,0,0,0,0,1,2,1,0,2,0,0,2,2,0,1,1,1244,482,4.158762086631263
0,0,0,0,38,0,1,0,2,2,0,2,0,0,1,1,0,241,2949,1.9232719274241528
0,1,1,0,65,1,2,1,0,2,2,0,2,2,1,0,1,1321,5298,5.2090158726573055
0,0,1,1,35,1,2,1,0,2,2,0,2,0,0,1,0,1191,4018,4.122705876274679
1,0,1,1,24,1,0,2,1,1,1,1,1,1,1,0,2,26,1453,0.9186451916253062
0,0,1,0,11,0,1,0,0,0,2,0,2,2,0,1,0,365,1640,3.2543073936048152
0,0,0,0,17,1,2,1,0,0,0,2,2,0,0,1,2,1022,2954,3.998436277864405
1,1,1,0,53,1,2,1,0,0,2,0,2,2,0,1,1,1220,4799,5.142590130292838
1,0,0,0,0,1,0,2,1,1,1,1,1,1,0,1,3,32,26,1.0
0,0,1,1,71,1,0,0,2,0,2,2,2,2,2,1,0,877,5002,2.806156120037162
1,0,1,1,43,1,0,0,0,2,0,2,0,0,0,1,0,443,3575,3.38283445427456
1,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1,2,763,947,3.771420067469911
1,1,1,1,0,1,0,0,0,0,0,2,0,0,0,1,1,353,169,4.232622125260814
0,0,1,0,49,1,2,1,2,2,0,2,2,2,1,0,2,1393,4909,3.182155402576522
0,0,0,0,47,1,2,0,0,2,2,2,2,0,1,1,0,753,4080,3.7614820634873944
0,0,1,1,0,1,0,2,1,1,1,1,1,1,0,0,3,17,11,0.762340347832317
1,0,1,1,70,1,2,0,2,0,2,2,2,2,1,0,2,970,5144,2.885119905253739
0,0,1,0,47,0,1,0,0,2,2,0,0,0,1,0,3,179,2924,2.822088351818347
1,1,1,0,12,1,0,1,0,0,0,0,0,0,0,0,0,696,1981,4.702728321358052
1,0,0,0,23,1,2,1,0,2,0,0,2,0,0,1,1,1066,3425,4.032287049007411
0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,746,313,3.7544624532464823
1,0,1,1,6,1,0,0,2,0,2,2,0,2,0,1,1,713,1467,2.6488687236556845
1,0,1,1,4,1,2,2,1,1,1,1,1,1,0,1,0,107,574,1.5461076134379654
1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,1,3,689,1535,3.695250159238254
0,0,1,0,45,1,0,0,0,2,0,2,2,0,2,1,1,589,3799,3.5811545081350697
0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,0,2,783,1125,3.790987499819692
0,1,0,0,63,0,1,0,0,2,0,2,2,0,0,1,2,274,3677,4.0729119233334625
0,0,1,1,46,1,2,0,2,2,0,2,2,2,2,1,1,967,4310,2.882669308801951
1,0,0,0,22,1,0,2,1,1,1,1,1,1,1,0,3,37,1413,1.0589241364785171
0,1,1,0,28,1,2,1,0,0,2,0,2,2,0,1,0,1220,3770,5.142590130292838
0,0,0,0,9,1,0,2,1,1,1,1,1,1,0,1,3,26,777,0.9186451916253062
0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,2,197,92,2.876691202782905
0,0,1,1,55,1,2,2,1,1,1,1,1,1,2,1,1,88,2798,1.4484798507285492
0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,695,787,4.701663706943547
1,0,0,0,7,1,0,0,0,0,0,0,0,0,0,1,3,300,1327,3.129134644531898
0,1,0,0,65,1,2,1,0,2,2,0,2,2,1,0,0,1384,5398,5.2484177828636565
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,689,282,3.695250159238254
1,0,0,0,8,0,1,0,0,0,0,0,2,2,0,1,2,305,1289,3.139496244373661
1,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,2,682,1092,3.6877109675510655
1,0,0,0,11,1,0,0,0,0,0,0,0,0,0,1,0,305,1471,3.139496244373661
1,0,0,0,15,1,0,1,2,0,0,0,2,2,0,1,2,1132,2807,3.0092518206794994
0,1,0,0,3,1,2,1,0,0,0,0,0,0,0,1,2,774,1081,4.782232238879894
0,0,0,0,40,1,0,2,1,1,1,1,1,1,0,0,2,37,1867,1.0589241364785171
0,0,0,0,67,1,2,0,2,0,0,0,0,0,0,0,3,435,4125,2.2987538551613653
0,0,0,0,24,1,0,2,1,1,1,1,1,1,1,0,1,26,1493,0.9186451916253062
0,0,1,0,6,1,0,1,0,0,0,0,0,0,0,1,0,671,1406,3.675737627147511
0,0,0,0,34,1,0,2,1,1,1,1,1,1,0,0,0,13,1642,0.6702776523348104
0,1,0,0,19,1,2,0,0,0,0,0,0,2,0,1,3,557,2421,4.541367839968331
1,0,1,1,14,1,0,2,1,1,1,1,1,1,2,0,3,15,985,0.7187719275874789
0,1,1,0,70,1,0,1,0,2,2,0,0,2,2,0,1,1044,5194,5.0155043409270474
1,0,0,0,9,1,0,0,0,0,0,0,0,0,0,1,1,294,1320,3.1165167549753563
0,0,0,0,15,1,2,1,0,0,0,0,0,0,0,0,2,731,2444,3.739241158152446
0,1,1,0,42,1,2,1,0,0,2,2,2,2,1,1,2,1376,4490,5.243494921683796
0,0,1,1,38,1,0,2,1,1,1,1,1,1,2,1,0,25,1989,0.9036539387158786
0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,2,906,391,3.9032434494507493
0,0,1,1,48,0,1,0,2,0,0,2,0,0,1,1,1,198,3084,1.8078323269798977
0,0,1,0,69,1,0,2,1,1,1,1,1,1,2,0,0,17,2584,0.762340347832317
1,0,0,0,7,0,1,0,2,0,0,0,0,0,0,0,3,128,805,1.5672423590094957
1,0,0,0,18,1,2,1,0,2,0,0,2,2,0,1,2,1238,3207,4.1547426569986134
1,1,1,0,34,1,2,1,2,2,0,0,0,2,0,1,2,1138,3976,4.013568852849907
1,0,1,1,3,0,1,0,2,0,0,0,2,0,0,0,1,213,649,1.850197667701015
1,0,0,1,70,1,2,1,2,0,2,0,2,2,2,0,0,1362,5432,3.1630510818207584
1,0,1,0,71,1,2,0,0,2,2,2,2,2,2,0,0,980,5105,3.9650184739538727
1,1,0,0,0,1,0,1,0,0,0,2,0,0,0,0,2,770,327,4.778314848555878
1,1,0,0,4,1,0,1,0,0,0,0,2,2,0,1,2,1045,1408,5.016273300068259
1,0,0,0,4,1,0,0,0,0,2,0,2,2,0,1,2,688,1142,3.6941768944160707
0,0,1,0,65,1,2,1,0,2,2,2,0,0,1,1,0,1066,5095,4.032287049007411
1,1,0,0,8,1,2,1,0,0,0,0,0,2,0,1,1,949,1809,4.939610102756978
0,0,1,1,49,1,0,2,1,1,1,1,1,1,2,0,1,39,2284,1.0807165492618438
0,1,1,0,64,1,2,1,2,2,2,0,2,2,0,1,1,1408,5397,4.191277564005604
0,0,1,0,1,1,0,1,2,0,0,2,0,0,0,1,2,871,760,2.800835364226428
1,0,0,0,42,1,2,1,0,0,0,2,2,2,1,1,2,1239,4358,4.155413642604832
1,1,1,1,37,1,2,1,0,2,0,0,2,2,0,0,2,1262,4144,5.170728032161167
0,0,0,0,7,1,0,1,0,2,0,0,0,0,0,0,2,788,1509,3.7958167989228353
0,1,0,0,31,1,0,1,0,2,0,0,0,0,0,1,2,764,3422,4.772408126308035
0,1,0,0,19,1,2,1,0,0,0,0,0,2,0,1,1,977,3030,4.96258793362611
1,0,0,0,22,1,2,1,0,0,2,2,2,2,0,1,3,1310,3534,4.201982691225451
1,0,1,1,68,1,0,1,0,2,0,2,2,0,2,1,3,1096,5211,4.054731591946854
1,0,0,0,6,1,0,0,0,0,2,2,2,0,0,0,0,591,1337,3.583583235026441
0,0,1,0,41,0,1,0,0,2,0,2,0,0,1,0,3,163,2773,2.7697305474014238
1,1,0,0,18,1,0,1,0,0,2,0,2,2,0,1,1,1165,3079,5.104546546910185
0,0,1,1,1,1,0,2,1,1,1,1,1,1,1,0,3,34,78,1.0243974584998852
1,0,0,1,46,1,0,0,2,2,0,0,0,0,0,1,2,451,3632,2.323191592534683
1,0,0,0,25,1,2,1,0,0,0,0,0,2,0,1,2,940,3409,3.932109204039785
1,0,0,0,23,1,0,2,1,1,1,1,1,1,2,0,3,43,1424,1.121747460841898
0,0,1,1,22,1,0,1,0,2,2,2,0,0,0,0,2,937,3179,3.92959613687915
1,0,1,0,63,1,2,0,0,2,2,2,2,0,2,1,0,798,4602,3.8054023169786153
0,0,1,0,25,1,0,1,0,0,0,2,0,2,0,0,1,979,3371,3.964208956027262
0,0,0,0,68,1,2,0,2,0,2,2,2,2,2,1,1,968,5008,2.8834868492421704
0,0,1,0,16,1,2,1,2,0,0,0,0,0,0,0,2,846,2645,2.7783448252237863
0,0,0,0,9,0,1,0,0,2,0,2,0,0,0,0,2,204,1201,2.8968501709813954
1,0,1,0,58,0,1,0,0,2,0,0,0,2,0,1,0,251,3523,3.019497986176966
0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,1,2,443,210,2.311060991738267
1,0,0,0,28,1,0,0,2,2,0,2,0,0,1,1,2,503,3003,2.398099676795025
0,0,0,0,61,1,2,2,1,1,1,1,1,1,2,1,1,105,2892,1.536517481635736
0,0,0,0,38,1,0,2,1,1,1,1,1,1,2,0,1,42,1849,1.1117857649667542
0,0,1,1,5,1,0,0,0,0,0,0,0,0,0,0,3,307,999,3.1436028591292553
0,0,1,0,44,1,2,2,1,1,1,1,1,1,2,0,3,99,2354,1.5068424421341002
0,0,1,1,60,1,0,2,1,1,1,1,1,1,2,0,1,23,2592,0.8721712305548575
1,0,0,1,32,1,0,2,1,1,1,1,1,1,1,1,3,31,1740,0.9873407546644581
0,0,1,1,47,1,0,1,2,0,2,0,2,2,1,1,0,1233,4684,3.0796077477807344
0,0,0,0,55,1,0,2,1,1,1,1,1,1,2,0,0,22,2257,0.8556007362580844
1,0,1,0,44,1,0,0,2,0,2,0,0,0,2,0,1,412,3434,2.2623328455532477
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,701,556,3.7080331114877088
0,0,0,1,34,1,0,0,2,2,0,0,0,0,1,0,1,457,3263,2.3321770690832544
0,0,1,1,65,1,2,1,0,2,2,0,2,2,1,1,1,1282,5248,4.183864443664945
0,0,0,0,11,1,0,2,1,1,1,1,1,1,0,0,3,22,817,0.8556007362580844
0,0,1,0,53,1,2,1,0,2,2,2,2,2,1,0,2,1426,5004,4.273895558811296
0,0,0,0,0,1,0,2,1,1,1,1,1,1,0,1,3,26,20,0.9186451916253062
1,0,0,1,26,1,2,2,1,1,1,1,1,1,2,1,1,106,1886,1.5413306424150433
0,0,1,0,36,0,1,0,2,0,0,2,2,0,2,0,2,305,2915,2.067722781837368
0,0,1,0,58,1,2,1,0,2,0,0,2,2,0,0,2,1261,5065,4.170066851399941
1,0,0,0,32,1,0,2,1,1,1,1,1,1,2,0,3,35,1751,1.0361680046403983
0,0,1,0,68,1,2,2,1,1,1,1,1,1,1,1,2,114,3069,1.578582139864186
1,0,1,1,18,1,2,1,0,0,0,2,2,2,1,1,2,1258,3164,4.1680807891311815
1,1,1,1,34,1,0,0,0,2,0,2,2,2,0,1,2,797,3675,4.804448103639704
1,0,1,0,18,1,2,1,2,2,0,2,0,0,0,1,1,1031,2985,2.933680394891633
0,0,1,1,0,1,0,2,1,1,1,1,1,1,0,0,2,28,22,0.9472943612303364
1,0,1,1,71,1,0,1,2,2,0,2,2,2,2,0,0,1338,5482,3.1480202692835277
1,0,1,0,19,1,0,1,0,0,0,0,2,2,0,1,3,1035,3119,4.008557059956644
1,0,0,0,66,1,0,2,1,1,1,1,1,1,1,1,3,17,2446,0.762340347832317
0,0,0,0,44,1,2,1,2,2,2,2,2,2,0,1,2,1497,4737,3.2438580940614017
1,0,1,0,2,0,1,0,0,0,0,0,0,2,0,1,2,185,480,2.840758701797829
1,0,1,0,60,1,2,0,2,2,2,2,0,2,2,1,0,884,4623,2.812326987153002
1,0,0,0,7,1,0,0,0,2,0,2,2,0,0,1,2,633,1475,3.633128360479987
0,0,0,0,5,1,0,0,0,0,0,2,0,0,0,1,0,361,956,3.2471431911356685
0,0,1,1,71,1,2,1,2,2,2,2,2,2,2,1,0,1520,5595,3.257038465149491
0,0,0,0,56,1,0,0,0,2,2,2,2,0,2,0,3,682,4215,3.6877109675510655
0,0,1,1,6,1,0,2,1,1,1,1,1,1,0,0,3,37,627,1.0589241364785171
1,1,1,0,52,1,2,1,0,2,0,0,2,2,0,1,2,1274,4878,5.178629689143749
1,0,0,0,10,1,0,0,0,2,2,2,0,0,0,1,2,543,1748,3.5233839032989
0,0,1,1,40,1,2,1,2,2,0,0,2,0,0,1,0,1133,4214,3.009972595235804
1,0,1,1,64,1,2,2,1,1,1,1,1,1,2,0,1,84,3021,1.4258048343234657
1,1,0,0,34,1,2,1,0,0,2,0,2,2,0,1,2,1266,4039,5.173368571176436
0,0,0,0,6,1,2,1,0,0,0,0,0,0,0,0,3,785,1412,3.792922171661476
1,0,0,0,16,1,0,2,1,1,1,1,1,1,1,1,3,30,989,0.97435048583482
0,0,1,1,71,1,2,0,2,2,0,2,2,0,2,0,3,767,4830,2.7035926455516055
0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,1,2,678,780,3.6833750226130317
1,0,1,1,66,1,2,1,2,2,2,0,2,2,1,1,2,1442,5453,3.211670129053374
0,0,0,0,49,1,0,2,1,1,1,1,1,1,1,1,3,15,2231,0.7187719275874789
0,0,0,0,68,1,0,0,2,0,2,2,2,2,2,1,1,914,4883,2.8383389136263637
0,0,1,1,56,1,0,1,0,2,0,0,2,2,1,1,2,1147,4873,4.091783847186084
0,0,0,0,62,1,2,1,2,2,2,0,2,2,0,0,1,1387,5291,3.178484525081921
1,0,1,1,22,1,2,0,0,0,0,0,0,0,1,1,1,336,2280,3.200868668880943
1,0,1,1,43,1,0,0,0,2,2,2,0,0,0,1,3,561,3760,3.5464396371137497
1,0,0,0,22,1,0,2,1,1,1,1,1,1,1,0,0,31,1252,0.9873407546644581
0,0,1,0,33,1,0,0,0,0,0,2,0,0,0,0,0,372,3115,3.266695001353847
1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,2,450,214,3.3934581902715886
1,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,2,879,383,3.87969669635459
0,0,1,0,64,1,0,0,0,0,0,2,2,0,2,1,1,522,4174,3.495699565912073
0,0,1,1,2,1,0,1,0,0,0,0,0,2,0,1,2,874,909,3.875272857368611
1,0,1,1,6,1,0,2,1,1,1,1,1,1,0,1,0,33,712,1.0123466170855586
0,1,1,0,69,1,2,1,2,0,0,0,0,2,0,1,2,1072,5206,3.965042561256194
0,0,0,0,46,1,0,1,2,0,2,2,2,2,1,1,2,1303,4561,3.1257089308997177
1,0,1,1,23,1,2,0,2,0,0,0,2,2,1,0,3,772,3120,2.7085021109199636
1,0,0,0,6,1,0,1,2,0,0,0,0,0,0,0,3,763,1505,2.699646604933618
1,1,0,0,8,1,2,1,0,0,2,0,2,2,0,1,2,1249,2083,5.162099781207462
1,0,1,0,0,1,2,1,0,0,0,0,0,0,0,1,0,768,326,3.7763500451796084
0,0,0,0,7,1,0,2,1,1,1,1,1,1,0,0,3,12,653,0.6437518295172258
0,0,0,0,14,1,2,0,0,0,0,0,0,0,0,1,2,350,1734,3.2271088092616957
0,0,0,0,49,1,2,0,2,0,2,2,2,2,1,1,1,915,4350,2.839194143886696
0,0,0,0,8,1,0,1,0,0,0,0,0,0,0,0,2,668,1683,3.6724449336310094
0,1,1,0,42,1,2,1,2,2,0,0,2,0,0,1,2,1137,4342,4.012850614001814
0,0,1,1,4,1,0,0,2,0,0,0,0,0,0,1,3,356,859,2.1663246209318676
1,0,0,1,34,1,0,1,0,0,2,0,2,0,1,1,2,964,3819,3.9519860851766966
0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,700,598,4.70697458059535
0,0,0,0,40,1,2,1,2,0,0,0,0,0,0,1,1,894,3900,2.8210750497912445
0,0,1,0,1,1,0,1,2,0,0,0,0,0,0,1,2,764,587,2.7006346637717416
0,0,0,0,2,0,1,0,2,0,0,2,0,0,0,0,3,172,586,1.727889096706893
0,1,0,0,14,1,2,1,0,0,0,0,0,0,0,1,3,765,2387,4.773395151070655
1,0,0,0,45,1,2,1,0,2,2,0,2,0,1,1,1,1145,4442,4.090355899238428
1,0,1,0,66,1,2,2,1,1,1,1,1,1,2,0,1,86,2909,1.437247817988224
1,0,1,0,16,1,2,1,0,2,0,0,0,0,0,1,0,878,2627,3.8788135419957297
1,0,1,0,58,1,2,1,0,0,0,0,0,2,1,0,2,972,4728,3.958523732318683
1,0,1,1,63,1,2,1,2,0,2,0,0,2,2,0,0,1115,4985,2.9969200221216505
0,0,1,1,9,1,2,1,0,2,2,0,2,2,0,1,1,1278,2283,4.181250343251766
0,0,1,0,54,1,2,0,2,2,0,2,0,0,1,1,1,623,4021,2.5498025865182155
1,0,1,0,70,1,2,0,2,2,2,2,0,2,2,1,3,870,4894,2.799945722775576
0,0,0,0,34,1,2,1,2,2,2,2,2,2,2,1,3,1463,4222,3.22407413096428
