gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,1,1,0,70,1,2,1,2,2,2,2,0,0,2,1,1,1174,5288,0
1,1,1,0,1,1,0,1,0,0,2,0,2,2,0,1,1,1157,730,0
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,302,142,0
1,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,2,681,1067,1
0,0,0,0,45,1,0,1,0,0,2,0,0,0,0,1,1,772,4066,0
1,0,0,0,33,1,2,1,0,2,2,0,2,2,0,1,2,1355,4067,1
0,0,0,0,10,1,2,1,0,0,2,0,2,2,0,1,0,1198,2330,1
1,0,1,1,9,1,0,0,0,2,0,0,0,0,1,0,3,359,1403,0
0,0,1,1,69,1,2,0,2,2,0,0,2,0,2,1,1,671,4631,0
0,0,1,1,16,1,0,2,1,1,1,1,1,1,1,0,3,43,1286,0
0,0,0,0,62,1,2,0,2,2,2,2,2,0,2,1,1,865,4624,0
0,0,1,0,12,1,2,0,2,2,0,2,2,0,0,1,2,800,2168,0
0,0,0,0,48,1,2,1,0,0,0,0,0,2,0,1,2,951,4219,0
1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,3,353,474,0
0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,1,2,881,602,1
1,0,0,0,51,1,2,0,2,0,0,2,2,2,2,1,1,863,4362,0
0,0,1,1,68,1,2,0,2,0,2,2,0,0,2,1,1,588,4374,0
0,1,0,0,42,1,2,1,0,2,0,0,2,0,0,1,2,1060,4186,0
0,0,0,0,14,1,0,1,2,2,0,0,2,2,0,1,1,1221,2751,1
0,1,1,0,24,1,2,0,2,0,0,2,2,0,0,1,1,677,3059,0
0,1,1,0,7,1,2,1,0,2,0,0,0,0,0,1,1,881,1659,1
1,1,0,0,17,1,2,1,0,0,0,0,2,2,0,1,2,1156,3058,1
0,0,1,1,62,1,2,1,2,0,0,0,2,2,1,1,1,1232,5151,0
1,1,1,1,65,1,2,1,0,2,2,2,2,2,1,1,2,1391,5365,0
0,0,1,1,33,1,2,2,1,1,1,1,1,1,2,0,1,88,2050,0
0,0,0,0,71,1,2,1,0,0,2,2,2,2,2,1,1,1375,5526,0
0,0,1,0,46,1,2,1,0,0,2,0,2,2,0,1,2,1249,4553,0
1,0,0,0,59,1,2,1,0,2,0,0,2,0,0,1,0,1053,4844,0
1,0,1,0,71,0,1,0,2,2,2,0,0,0,2,0,0,257,3774,0
0,0,0,0,8,1,2,1,0,0,0,0,2,2,0,0,2,1135,1997,1
1,0,1,0,46,1,2,1,0,2,0,0,0,0,1,1,2,846,4113,0
0,0,1,1,49,1,0,2,1,1,1,1,1,1,2,0,0,31,2105,0
1,0,0,0,9,1,0,1,2,0,2,0,0,0,0,1,3,865,2036,0
0,0,1,1,51,1,0,2,1,1,1,1,1,1,1,1,2,36,2314,0
1,1,1,1,63,1,2,1,2,0,2,2,2,2,2,1,0,1448,5368,0
1,0,1,1,61,1,2,2,1,1,1,1,1,1,2,1,0,74,2748,0
0,0,0,1,2,1,0,0,2,0,0,2,0,2,0,1,0,595,716,0
0,0,0,0,45,1,0,0,0,0,0,0,0,2,1,0,1,458,3653,0
1,1,0,0,29,1,0,0,2,2,0,0,2,2,0,1,2,771,3323,0
0,0,1,1,44,1,2,2,1,1,1,1,1,1,1,1,1,107,2471,0
0,0,0,1,0,1,0,1,0,0,0,0,2,0,0,1,2,855,365,1
0,0,1,1,10,0,1,0,2,0,0,0,2,2,0,0,2,379,1555,0
0,0,1,0,6,1,0,1,0,0,2,0,0,0,0,1,0,779,1439,1
0,0,0,0,41,1,0,1,0,2,2,2,2,2,0,1,0,1305,4409,0
0,0,1,0,48,1,0,2,1,1,1,1,1,1,2,1,0,31,2161,0
1,0,0,0,8,1,2,1,0,2,0,0,2,2,0,1,1,1225,2084,0
0,0,1,0,34,1,0,0,2,0,0,0,2,0,1,1,0,565,3389,0
0,0,1,1,47,1,0,2,1,1,1,1,1,1,2,0,0,41,2265,0
0,0,1,1,45,1,0,2,1,1,1,1,1,1,2,1,3,27,2095,0
1,0,1,0,28,0,1,0,0,0,0,0,2,0,0,0,3,167,2197,0
1,0,1,1,29,1,0,1,0,2,2,0,0,0,0,0,0,908,3590,0
1,1,0,0,0,1,0,1,0,0,0,2,0,0,0,0,2,770,327,0
1,0,1,1,65,1,2,0,2,0,2,2,2,2,2,1,3,941,4945,0
0,0,0,0,64,1,2,1,2,2,2,0,2,2,0,1,1,1437,5370,0
0,0,0,0,11,1,2,1,2,0,0,0,0,0,0,1,2,847,2097,1
1,0,1,1,70,1,2,0,2,2,0,2,0,0,1,1,1,637,4573,0
1,0,0,0,4,1,0,2,1,1,1,1,1,1,0,0,3,49,522,1
1,0,0,0,51,1,0,2,1,1,1,1,1,1,2,0,0,48,2331,0
0,1,1,0,24,1,0,1,0,2,2,0,2,2,0,1,2,1210,3557,1
1,0,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,32,26,0
0,0,1,1,0,1,0,2,1,1,1,1,1,1,0,0,2,17,11,0
1,0,0,0,37,1,2,1,0,0,2,2,2,0,1,0,0,1147,4091,0
0,1,1,0,65,0,1,0,0,2,2,0,2,0,1,0,0,308,3815,0
1,0,1,0,67,1,2,1,0,2,2,2,2,2,2,1,0,1420,5483,1
0,0,1,1,71,1,2,1,2,2,0,0,2,2,1,1,2,1312,5413,0
0,0,0,0,31,0,1,0,2,0,0,0,0,0,1,0,3,142,2098,0
1,0,0,0,42,1,2,1,0,0,0,0,2,2,1,0,3,1134,4225,0
1,0,1,1,71,1,0,2,1,1,1,1,1,1,2,0,1,16,2660,0
1,0,1,0,54,1,2,1,2,2,0,0,2,0,0,1,2,1181,4777,1
0,0,0,0,51,1,0,0,2,0,2,2,0,0,1,0,1,492,3824,0
0,0,0,0,42,1,0,1,0,2,2,0,2,0,0,1,2,1087,4239,0
0,1,1,0,36,1,2,1,0,0,0,0,0,0,0,1,2,805,3730,1
0,0,1,1,63,0,1,0,0,2,0,2,2,2,2,1,2,438,4002,0
1,0,1,1,2,1,0,1,2,2,0,0,2,0,0,0,2,1052,905,0
0,0,0,0,35,0,1,0,2,0,0,0,0,0,2,0,0,155,2360,0
0,0,1,1,9,1,2,1,2,0,0,0,2,2,0,1,2,1244,2276,1
0,0,0,0,40,1,0,2,1,1,1,1,1,1,2,0,3,41,1961,0
0,0,0,0,5,1,0,2,1,1,1,1,1,1,0,0,3,42,517,0
1,0,0,0,2,1,2,1,0,0,0,0,0,0,0,1,2,764,851,1
0,0,1,1,6,1,0,0,2,0,0,0,0,0,0,0,3,382,1153,0
0,0,1,1,3,1,0,2,1,1,1,1,1,1,0,0,3,45,248,0
1,0,0,0,32,1,0,1,2,0,0,2,2,0,2,1,2,1034,3817,0
0,1,0,0,26,1,2,1,0,0,2,0,0,0,0,1,2,829,3332,1
1,1,0,0,70,0,1,0,2,2,0,0,2,2,1,1,2,474,4255,0
0,0,0,0,12,1,2,1,0,0,0,0,0,2,0,1,2,980,2468,0
0,0,1,1,24,0,1,0,2,2,2,0,2,2,0,1,1,501,2829,1
1,0,0,0,66,1,0,0,0,0,0,2,0,0,2,0,0,379,3933,0
1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,2,191,90,1
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,284,389,1
0,0,0,0,42,1,2,2,1,1,1,1,1,1,2,1,1,103,2436,0
0,0,0,0,22,1,0,1,2,0,0,0,0,0,0,1,0,776,3080,0
0,0,1,1,63,1,0,2,1,1,1,1,1,1,2,0,3,32,2554,0
1,0,0,1,56,1,0,2,1,1,1,1,1,1,2,1,3,20,2415,0
0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,3,696,289,1
0,1,1,1,71,1,2,0,2,2,2,2,2,2,2,1,1,1016,5191,0
0,0,0,0,7,1,2,0,2,0,0,2,0,2,0,0,2,710,1551,1
0,0,1,0,60,1,2,1,0,2,0,0,2,2,2,1,0,1260,5038,0
1,0,0,0,63,1,2,1,2,2,0,0,0,0,1,1,1,947,4792,0
0,0,1,1,64,1,2,1,2,2,0,2,2,0,2,1,1,1220,5186,0
1,0,0,0,2,1,0,2,1,1,1,1,1,1,1,0,3,20,241,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,310,148,1
1,0,0,1,29,1,0,0,0,2,2,0,2,0,1,0,1,595,3204,0
1,0,1,1,14,1,0,0,0,2,2,2,0,2,0,1,3,677,2287,0
0,0,1,1,7,1,0,0,0,0,0,2,2,2,0,1,2,659,1552,0
1,0,0,0,6,1,2,1,0,0,0,0,2,2,0,0,3,1147,1692,1
0,0,1,1,69,1,2,1,2,2,2,0,2,2,1,1,1,1385,5545,0
1,0,1,1,61,1,0,0,2,2,2,2,2,2,2,0,2,983,4766,0
0,0,1,1,5,1,0,2,1,1,1,1,1,1,0,0,3,22,520,0
0,0,1,1,13,1,0,1,0,0,0,0,0,2,0,1,0,886,2397,0
1,0,1,1,21,1,0,2,1,1,1,1,1,1,1,0,3,31,1293,0
1,0,1,1,15,1,0,0,2,0,2,0,2,0,2,0,3,590,2215,0
0,0,0,1,12,1,0,0,2,2,0,0,0,0,0,1,2,465,1852,0
0,0,1,0,19,1,2,1,2,0,0,0,0,0,0,0,2,913,2914,1
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,681,575,0
1,0,0,0,52,1,2,0,0,2,2,2,0,2,2,1,0,754,4242,0
0,0,1,1,10,1,0,2,1,1,1,1,1,1,1,0,3,40,863,0
1,0,1,0,68,1,0,2,1,1,1,1,1,1,2,0,3,26,2661,0
0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,1,0,705,973,1
1,1,1,0,57,0,1,0,0,2,2,0,0,2,0,1,2,303,3630,1
0,0,1,1,15,1,0,2,1,1,1,1,1,1,0,0,2,36,1078,0
1,0,1,0,42,1,0,1,2,0,2,2,0,0,1,1,0,946,4059,0
0,0,1,0,1,1,2,1,0,0,2,2,2,2,0,1,2,1317,888,1
0,0,1,0,52,1,0,1,0,0,2,0,2,2,1,1,0,1144,4693,1
0,0,0,0,31,1,0,2,1,1,1,1,1,1,1,0,0,39,1689,0
0,1,0,0,14,1,2,1,0,0,0,0,0,0,0,1,3,765,2387,1
0,1,0,0,6,1,0,1,2,0,0,0,0,0,0,0,0,804,1451,1
1,0,1,0,60,1,0,2,1,1,1,1,1,1,1,1,1,39,2514,0
0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,139,72,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,303,143,0
1,0,0,0,7,1,2,1,0,0,0,0,0,2,0,0,0,951,1704,1
1,0,1,1,32,1,0,0,2,0,2,0,2,2,1,0,1,771,3524,0
0,0,0,0,12,1,0,1,0,2,2,0,0,0,0,1,2,853,2340,1
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,85,55,1
1,0,0,0,19,1,0,0,0,2,0,0,0,0,0,1,3,403,2212,0
0,0,0,0,12,1,0,2,1,1,1,1,1,1,1,0,2,21,894,0
0,0,1,0,39,1,2,0,0,2,0,0,0,0,0,0,1,477,3479,0
1,0,1,1,42,1,2,0,2,0,0,2,0,2,1,1,1,723,3890,0
1,0,1,0,5,1,0,1,0,2,2,0,0,2,0,1,2,1075,1500,1
0,0,1,1,68,1,0,2,1,1,1,1,1,1,2,0,0,23,2674,0
0,0,1,1,71,1,2,1,2,2,2,0,2,2,2,0,1,1414,5578,0
1,0,1,1,58,1,0,2,1,1,1,1,1,1,2,0,1,14,2442,0
0,0,1,0,19,1,0,1,2,2,0,2,2,0,0,1,2,1177,3183,0
1,0,1,1,23,1,2,2,1,1,1,1,1,1,2,1,0,71,1592,0
1,0,0,0,58,1,2,1,0,2,2,2,2,2,0,1,2,1443,5218,0
1,0,1,1,71,1,2,1,0,2,2,2,2,2,2,1,0,1453,5564,0
1,0,0,1,0,1,0,2,1,1,1,1,1,1,0,0,3,43,37,0
0,0,0,0,13,1,0,1,0,2,0,2,0,0,0,1,1,869,2342,0
1,0,1,1,70,1,2,1,2,0,2,0,2,2,2,0,2,1339,5439,0
1,0,0,1,12,1,0,1,0,0,0,0,2,0,0,1,1,834,2233,0
0,0,0,0,32,1,0,1,0,2,0,2,0,0,1,1,0,867,3650,0
1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,2,866,373,1
0,0,0,0,18,1,0,1,2,0,2,2,2,2,0,1,2,1360,3209,1
1,0,1,0,63,1,0,1,0,2,2,2,2,2,1,1,1,1282,5256,0
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,317,402,1
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,94,61,0
1,0,0,1,60,1,0,2,1,1,1,1,1,1,2,0,3,23,2357,0
0,0,1,1,28,1,0,2,1,1,1,1,1,1,1,0,2,28,1515,0
1,1,1,0,22,1,2,1,0,0,0,0,0,2,0,0,2,997,3234,0
0,0,1,0,56,0,1,0,2,2,2,0,2,2,0,1,0,503,4008,0
1,0,1,0,65,0,1,0,2,2,2,2,2,0,2,1,0,477,4167,0
1,0,1,1,64,1,2,0,0,2,2,2,2,2,2,1,0,945,4809,0
0,0,0,0,7,1,0,1,0,0,0,0,2,0,0,1,0,868,1648,0
0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,1,2,690,959,1
0,0,1,0,70,1,2,2,1,1,1,1,1,1,2,0,0,84,3130,0
1,0,1,0,3,1,0,0,0,0,0,2,0,0,0,0,3,369,722,1
0,0,0,0,11,1,0,2,1,1,1,1,1,1,1,1,0,15,813,0
1,0,0,0,23,0,1,0,2,0,0,0,2,2,1,1,3,380,2564,0
0,0,1,1,30,1,0,0,2,0,2,2,2,2,1,1,3,891,3572,0
0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,3,449,213,1
0,0,1,1,46,1,2,0,2,2,0,2,2,2,2,1,1,967,4310,0
1,0,0,0,53,1,2,1,2,2,0,2,2,2,2,1,1,1382,4964,0
1,0,0,0,49,1,0,1,2,2,0,2,0,2,0,1,1,1117,4571,0
1,0,0,0,0,1,0,1,2,0,0,0,0,2,0,1,3,953,403,1
0,0,0,0,71,1,0,2,1,1,1,1,1,1,2,0,1,33,2897,0
0,0,0,0,28,1,2,2,1,1,1,1,1,1,0,0,2,92,1770,0
1,0,0,0,1,1,2,0,0,2,0,0,0,0,0,1,3,434,524,1
0,0,0,0,9,0,1,0,0,0,0,2,0,0,2,1,3,132,1028,0
1,0,1,0,17,1,2,1,0,0,0,0,0,0,0,1,2,740,2585,0
0,1,0,0,10,1,0,1,0,2,0,0,2,2,0,1,2,1147,2352,1
1,0,0,0,15,1,0,2,1,1,1,1,1,1,2,0,3,23,997,0
1,0,0,0,71,1,2,1,0,2,2,2,2,2,2,0,0,1405,5533,0
0,1,1,0,64,1,0,1,2,2,2,0,0,2,0,0,2,1135,5090,0
1,1,0,0,3,1,0,1,2,0,0,0,0,0,0,0,2,783,976,0
1,0,0,0,40,1,2,0,0,0,2,0,0,2,1,0,3,605,3562,0
1,1,0,0,14,1,0,1,0,2,0,0,0,0,0,1,2,764,2292,1
1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,3,339,164,1
1,0,0,0,41,1,2,1,2,2,2,0,0,2,1,1,2,1219,4392,0
0,0,1,0,50,1,0,1,2,2,2,0,2,0,1,1,2,1117,4522,0
0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,2,695,616,1
1,1,1,0,0,0,1,0,0,2,0,0,2,0,0,0,2,239,110,1
1,0,0,1,31,1,2,0,0,2,2,2,2,2,1,0,1,935,3621,0
1,0,0,0,9,1,0,2,1,1,1,1,1,1,0,1,3,25,756,0
0,0,1,1,66,0,1,0,0,2,2,2,2,2,2,1,2,517,4309,0
0,0,1,1,60,1,2,1,2,2,2,2,2,2,2,0,1,1491,5352,0
0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,289,383,1
1,1,0,0,2,0,1,0,0,0,2,0,0,2,0,1,2,253,566,1
1,1,0,0,12,1,2,1,0,2,2,0,2,2,0,1,2,1366,2662,1
1,1,1,0,56,1,2,1,0,2,0,0,0,2,0,1,2,1052,4664,0
0,0,0,0,30,0,1,0,2,2,0,2,0,2,2,1,0,365,2847,0
0,0,1,0,44,1,2,1,2,2,2,2,2,2,1,0,3,1465,4707,0
0,0,1,1,60,1,2,0,2,2,2,2,2,2,2,0,3,1017,4871,0
1,0,0,0,49,1,2,2,1,1,1,1,1,1,2,0,0,87,2445,0
0,1,0,0,18,1,0,1,2,2,0,2,2,2,0,1,3,1329,3254,0
1,0,0,0,58,1,0,2,1,1,1,1,1,1,2,0,3,15,2326,1
0,0,1,0,70,1,2,2,1,1,1,1,1,1,2,1,1,74,3034,0
0,1,0,0,15,1,0,1,0,0,0,2,2,2,0,1,2,1136,2841,1
1,0,1,0,56,1,0,0,2,2,0,2,0,0,2,1,2,521,4015,0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,85,55,1
1,1,1,0,19,1,2,1,0,2,0,2,2,2,0,0,2,1369,3351,0
1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,699,292,1
1,0,1,0,4,1,2,1,0,2,0,2,0,0,0,1,2,969,1243,1
0,0,1,0,51,1,2,1,0,2,2,0,2,2,0,1,2,1330,4917,1
0,0,0,0,4,1,0,0,0,2,0,0,0,0,0,0,0,379,893,0
0,0,0,0,5,1,0,0,2,2,0,0,0,0,0,0,3,448,1084,0
0,0,0,0,67,1,2,0,2,0,0,0,0,0,0,0,3,435,4125,0
1,0,1,1,17,1,0,1,0,0,2,0,2,2,0,0,3,1150,3082,1
0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,1,2,284,2096,0
1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,687,280,1
1,1,0,0,7,1,0,1,0,2,0,0,0,0,0,1,2,766,1623,1
1,0,0,0,9,1,0,0,0,0,0,0,0,0,0,1,1,294,1320,1
1,1,0,0,23,1,2,1,0,0,0,0,0,0,0,1,2,798,3016,1
1,0,0,0,34,1,0,0,2,2,2,0,0,0,1,0,3,549,3267,0
0,0,0,0,11,1,0,2,1,1,1,1,1,1,0,0,3,22,817,0
1,0,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,33,27,0
0,0,1,1,70,1,0,1,0,0,2,0,0,0,2,0,2,797,4835,0
1,1,1,0,34,1,2,1,0,0,2,0,2,2,0,1,2,1255,4009,0
1,0,1,1,39,1,2,0,0,0,2,0,2,2,0,1,2,767,3803,0
0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,1,3,748,315,1
1,0,0,0,22,1,0,0,0,0,0,0,2,2,1,1,0,603,2837,0
0,1,0,0,3,1,2,1,0,0,0,0,2,2,0,1,2,1156,1235,1
1,0,0,0,3,1,0,1,0,0,2,2,0,2,0,1,2,1063,1163,0
0,0,1,1,67,0,1,0,0,2,2,2,2,2,2,0,1,532,4313,0
1,0,0,1,37,1,2,1,0,2,0,0,0,0,0,1,3,904,3874,0
1,0,1,1,51,1,2,2,1,1,1,1,1,1,2,0,3,85,2484,0
1,1,1,0,31,1,2,1,0,0,0,0,0,0,0,1,2,774,3438,1
1,0,1,1,28,1,0,0,0,0,2,2,2,2,2,0,3,787,3287,0
1,1,1,1,37,1,2,1,0,2,0,0,2,2,0,0,2,1262,4144,0
1,0,0,1,47,1,2,0,2,0,2,0,2,2,1,1,1,843,4123,0
0,0,0,0,21,1,0,1,2,0,0,2,0,2,0,1,2,1036,3169,0
0,0,0,0,42,1,2,1,2,2,2,2,2,2,2,0,1,1490,4642,0
0,1,1,0,4,1,0,1,0,0,0,0,0,0,0,1,2,674,1132,0
1,0,0,0,4,1,0,1,0,0,0,0,2,0,0,1,2,880,1275,1
1,0,0,0,70,1,0,2,1,1,1,1,1,1,2,1,1,26,2648,0
0,0,1,1,37,1,0,0,2,2,0,2,2,2,1,0,1,874,3836,1
1,1,1,0,23,1,0,1,0,0,2,0,2,2,0,1,2,1110,3395,1
1,0,1,0,34,1,2,1,0,0,0,2,2,0,0,1,1,1085,3921,0
0,1,0,0,53,1,2,0,2,2,0,2,2,2,1,0,0,914,4415,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,293,134,0
0,0,1,1,8,1,0,0,2,0,0,0,0,0,1,0,3,340,1295,0
1,0,0,0,68,0,1,0,2,2,0,2,2,2,2,1,0,527,4348,0
0,0,1,0,51,1,2,1,0,2,0,2,2,2,0,1,1,1287,4744,0
0,1,1,0,10,1,0,1,0,0,0,2,2,0,0,1,2,921,2030,0
0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,694,584,1
0,1,0,0,16,1,2,1,0,0,2,0,0,0,0,1,1,917,2799,0
0,0,1,1,34,1,0,2,1,1,1,1,1,1,2,1,3,25,1816,0
1,0,0,0,45,1,2,1,0,2,2,0,2,0,1,1,1,1145,4442,0
0,0,0,0,6,1,2,1,0,0,0,0,0,0,0,1,2,753,1460,1
0,0,0,0,1,1,2,1,0,0,2,0,0,0,0,0,3,880,648,1
1,0,1,1,67,1,2,0,0,2,2,2,0,2,1,1,0,792,4797,1
0,0,0,0,42,1,2,1,0,2,2,0,2,2,2,1,2,1321,4581,1
0,0,0,0,67,1,2,0,2,2,2,2,2,2,2,1,2,1018,5104,0
0,0,0,0,35,1,0,1,0,2,0,0,2,2,0,1,1,1143,4072,0
1,0,1,0,62,1,2,1,0,2,2,0,2,2,0,1,2,1299,5244,1
0,1,0,0,31,1,0,0,0,2,0,2,0,0,0,0,0,439,3125,0
0,0,1,0,70,1,2,0,2,2,2,2,2,2,2,0,1,976,5123,0
1,0,0,0,62,1,0,2,1,1,1,1,1,1,1,0,3,38,2613,0
0,0,0,1,40,1,0,2,1,1,1,1,1,1,1,1,1,33,2006,0
0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,1,2,725,308,0
0,0,0,0,1,1,0,1,0,0,0,0,2,2,0,1,2,1063,691,1
0,0,1,0,69,1,0,2,1,1,1,1,1,1,2,0,0,17,2584,0
0,0,0,0,22,0,1,0,0,0,0,0,2,2,0,1,2,296,2182,0
0,1,1,0,63,1,0,1,2,2,2,0,0,2,1,0,0,1186,5193,0
1,0,0,1,16,1,0,0,0,0,0,0,0,0,1,0,3,289,1738,0
0,1,0,0,6,1,0,1,0,0,0,0,2,2,0,1,2,1038,1571,0
1,0,1,1,3,1,2,1,0,2,2,0,0,0,0,1,0,957,1197,1
0,1,0,0,20,0,1,0,2,0,0,0,2,0,0,1,2,255,1970,1
0,0,0,0,9,1,0,1,0,0,0,0,0,2,0,1,0,873,1976,1
0,1,0,0,15,1,2,0,2,0,0,0,0,0,0,1,2,428,2039,0
1,1,1,0,26,0,1,0,2,0,0,0,0,0,0,0,1,152,1908,1
1,0,1,1,41,1,2,1,2,0,0,0,2,2,1,0,2,1188,4269,0
1,0,0,1,4,1,0,2,1,1,1,1,1,1,0,0,3,32,398,0
0,0,0,0,40,1,0,1,0,2,0,2,2,2,2,1,0,1216,4243,0
1,0,1,0,57,1,0,0,0,0,2,0,0,0,1,0,1,374,3737,0
0,0,0,0,46,1,0,2,1,1,1,1,1,1,2,1,3,39,2128,0
1,0,0,0,17,1,0,1,0,0,0,2,0,0,0,1,0,794,2669,0
1,0,0,0,4,1,0,1,0,0,2,0,2,2,0,0,0,1176,1432,1
0,0,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,11,6,0
1,0,1,0,70,1,2,1,0,0,2,0,2,2,1,1,1,1213,5339,0
1,0,0,0,1,1,2,1,0,0,0,0,2,0,0,1,2,974,728,1
1,0,0,1,23,0,1,0,2,0,0,2,0,0,2,0,3,197,1952,0
0,0,1,1,55,1,2,1,0,2,2,2,0,2,1,1,1,1234,4907,0
1,0,0,0,36,1,0,1,0,2,0,0,2,2,0,1,1,1169,4111,0
0,0,0,0,42,1,2,0,0,2,2,2,2,2,1,0,1,963,4117,0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,96,63,0
0,0,1,0,24,1,2,1,0,0,2,2,2,2,0,1,0,1328,3586,1
0,0,0,0,60,1,2,0,2,2,2,2,2,2,2,0,2,1048,4803,0
1,0,0,0,16,1,2,1,0,0,2,2,0,0,1,0,2,996,2719,0
0,0,1,0,40,1,0,1,0,2,2,2,0,0,1,1,0,985,3963,0
1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3,381,188,1
1,0,0,0,0,1,2,1,0,2,0,0,0,2,0,1,1,1072,439,1
1,0,0,0,47,1,2,1,0,2,2,0,2,2,2,1,0,1384,4720,0
1,1,1,0,10,1,0,2,1,1,1,1,1,1,0,0,3,27,801,1
0,1,1,0,54,1,2,1,0,2,2,0,0,0,0,1,2,970,4633,1
0,0,0,0,41,0,1,0,2,2,2,2,0,2,1,1,2,441,3463,0
1,0,0,0,43,1,2,1,0,0,2,0,0,2,0,1,3,1063,4298,0
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,277,120,0
0,0,0,0,26,1,2,1,0,0,0,0,2,2,0,1,0,1159,3599,0
